dataset, #TrainingRelease, %training, %Defective in training, %Defective in testing, classifier, balancing, Feature Selection,TP, FP, TN, FN, Precision, Recall, ROC Area, Kappa
BOOKKEEPER, 2, 0.6368159203980099, 0.28125, 0.3767123287671233, IBK, NO_FEATURES_SELECTION, SMOTE, 87.0, 15.0, 258.0, 78.0, 0.7678571428571429, 0.945054945054945, 0.691008991008991, 0.5109141992651827
BOOKKEEPER, 2, 0.6368159203980099, 0.28125, 0.3767123287671233, IBK, BEST_FIRST, NO_SAMPLING, 87.0, 11.0, 262.0, 78.0, 0.7705882352941177, 0.9597069597069597, 0.7434898434898435, 0.5295097400246217
BOOKKEEPER, 2, 0.6368159203980099, 0.28125, 0.3767123287671233, IBK, BEST_FIRST, OVER_SAMPLING, 1.0, 2.0, 271.0, 164.0, 0.6229885057471264, 0.9926739926739927, 0.49936729936729934, -0.0015703777171666604
BOOKKEEPER, 2, 0.6368159203980099, 0.28125, 0.3767123287671233, IBK, BEST_FIRST, UNDER_SAMPLING, 103.0, 28.0, 245.0, 62.0, 0.7980456026058632, 0.8974358974358975, 0.754956154956155, 0.5438450322849405
BOOKKEEPER, 2, 0.6368159203980099, 0.28125, 0.3767123287671233, IBK, BEST_FIRST, SMOTE, 89.0, 15.0, 258.0, 76.0, 0.7724550898203593, 0.945054945054945, 0.7423909423909424, 0.5226701156858518
BOOKKEEPER, 3, 0.6714922048997772, 0.3167495854063018, 0.1016949152542373, NAIVE_BAYES, NO_FEATURES_SELECTION, NO_SAMPLING, 0.0, 38.0, 492.0, 60.0, 0.8913043478260869, 0.9283018867924528, 0.6152044025157233, -0.08561772437101062
BOOKKEEPER, 3, 0.6714922048997772, 0.3167495854063018, 0.1016949152542373, NAIVE_BAYES, NO_FEATURES_SELECTION, OVER_SAMPLING, 42.0, 334.0, 196.0, 18.0, 0.9158878504672897, 0.36981132075471695, 0.5788207547169811, 0.02093154818027537
BOOKKEEPER, 3, 0.6714922048997772, 0.3167495854063018, 0.1016949152542373, NAIVE_BAYES, NO_FEATURES_SELECTION, UNDER_SAMPLING, 0.0, 18.0, 512.0, 60.0, 0.8951048951048951, 0.9660377358490566, 0.6722169811320755, -0.04924760601915182
BOOKKEEPER, 3, 0.6714922048997772, 0.3167495854063018, 0.1016949152542373, NAIVE_BAYES, NO_FEATURES_SELECTION, SMOTE, 0.0, 31.0, 499.0, 60.0, 0.8926654740608229, 0.9415094339622642, 0.684622641509434, -0.07444466680007988
BOOKKEEPER, 3, 0.6714922048997772, 0.3167495854063018, 0.1016949152542373, NAIVE_BAYES, BEST_FIRST, NO_SAMPLING, 19.0, 59.0, 471.0, 41.0, 0.919921875, 0.8886792452830189, 0.6309748427672957, 0.18123785734110462
BOOKKEEPER, 3, 0.6714922048997772, 0.3167495854063018, 0.1016949152542373, NAIVE_BAYES, BEST_FIRST, OVER_SAMPLING, 59.0, 523.0, 7.0, 1.0, 0.875, 0.013207547169811321, 0.5366037735849056, -7.121123842817357E-4
BOOKKEEPER, 3, 0.6714922048997772, 0.3167495854063018, 0.1016949152542373, NAIVE_BAYES, BEST_FIRST, UNDER_SAMPLING, 42.0, 343.0, 187.0, 18.0, 0.9121951219512195, 0.35283018867924526, 0.6511635220125787, 0.015530390570834263
BOOKKEEPER, 3, 0.6714922048997772, 0.3167495854063018, 0.1016949152542373, NAIVE_BAYES, BEST_FIRST, SMOTE, 28.0, 88.0, 442.0, 32.0, 0.9324894514767933, 0.8339622641509434, 0.6351415094339623, 0.21263345195729536
BOOKKEEPER, 3, 0.6714922048997772, 0.3167495854063018, 0.1016949152542373, RANDOM_FOREST, NO_FEATURES_SELECTION, NO_SAMPLING, 31.0, 120.0, 410.0, 29.0, 0.9339407744874715, 0.7735849056603774, 0.6828301886792453, 0.17354517251104615
BOOKKEEPER, 3, 0.6714922048997772, 0.3167495854063018, 0.1016949152542373, RANDOM_FOREST, NO_FEATURES_SELECTION, OVER_SAMPLING, 39.0, 330.0, 200.0, 21.0, 0.9049773755656109, 0.37735849056603776, 0.611996855345912, 0.008332136187329418
BOOKKEEPER, 3, 0.6714922048997772, 0.3167495854063018, 0.1016949152542373, RANDOM_FOREST, NO_FEATURES_SELECTION, UNDER_SAMPLING, 40.0, 151.0, 379.0, 20.0, 0.949874686716792, 0.7150943396226415, 0.6958490566037736, 0.19397619237836536
BOOKKEEPER, 3, 0.6714922048997772, 0.3167495854063018, 0.1016949152542373, RANDOM_FOREST, NO_FEATURES_SELECTION, SMOTE, 35.0, 122.0, 408.0, 25.0, 0.9422632794457275, 0.769811320754717, 0.6810377358490566, 0.20569649235277973
BOOKKEEPER, 3, 0.6714922048997772, 0.3167495854063018, 0.1016949152542373, RANDOM_FOREST, BEST_FIRST, NO_SAMPLING, 30.0, 95.0, 435.0, 30.0, 0.9354838709677419, 0.8207547169811321, 0.679496855345912, 0.2166755177907596
BOOKKEEPER, 3, 0.6714922048997772, 0.3167495854063018, 0.1016949152542373, RANDOM_FOREST, BEST_FIRST, OVER_SAMPLING, 59.0, 523.0, 7.0, 1.0, 0.875, 0.013207547169811321, 0.5366037735849056, -7.121123842817357E-4
BOOKKEEPER, 3, 0.6714922048997772, 0.3167495854063018, 0.1016949152542373, RANDOM_FOREST, BEST_FIRST, UNDER_SAMPLING, 41.0, 323.0, 207.0, 19.0, 0.915929203539823, 0.3905660377358491, 0.6625786163522013, 0.02276249515691588
BOOKKEEPER, 3, 0.6714922048997772, 0.3167495854063018, 0.1016949152542373, RANDOM_FOREST, BEST_FIRST, SMOTE, 28.0, 105.0, 425.0, 32.0, 0.9299781181619255, 0.8018867924528302, 0.6327987421383647, 0.17444591972219378
