Dataset, #TrainingRelease, %training, %Defective in training, %Defective in testing, Classifier, Feature Selection, Balancing, TP, FP, TN, FN, Precision, Recall, ROC Area, Kappa
OPENJPA, 3, 0.7187309334960341, 0.02461799660441426, 0.038322487346348515, IBK, NO_FEATURES_SELECTION, OVER_SAMPLING, 1240.0, 34.0, 19.0, 90.0, 0.1743119266055046, 0.3584905660377358, 0.6820116328557242, 0.19294844041187442
OPENJPA, 3, 0.7187309334960341, 0.02461799660441426, 0.038322487346348515, IBK, NO_FEATURES_SELECTION, UNDER_SAMPLING, 1201.0, 15.0, 38.0, 129.0, 0.2275449101796407, 0.7169811320754716, 0.8165839126117179, 0.3050202751275483
OPENJPA, 3, 0.7187309334960341, 0.02461799660441426, 0.038322487346348515, IBK, NO_FEATURES_SELECTION, SMOTE, 1324.0, 22.0, 31.0, 6.0, 0.8378378378378378, 0.5849056603773585, 0.803986381046957, 0.6787669641968341
OPENJPA, 3, 0.7187309334960341, 0.02461799660441426, 0.038322487346348515, IBK, BEST_FIRST, NO_SAMPLING, 1320.0, 30.0, 23.0, 10.0, 0.696969696969697, 0.4339622641509434, 0.8068804085685913, 0.5207900207900218
OPENJPA, 3, 0.7187309334960341, 0.02461799660441426, 0.038322487346348515, IBK, BEST_FIRST, OVER_SAMPLING, 1192.0, 26.0, 27.0, 138.0, 0.16363636363636364, 0.5094339622641509, 0.7045254646049085, 0.20137744538809352
OPENJPA, 3, 0.7187309334960341, 0.02461799660441426, 0.038322487346348515, IBK, BEST_FIRST, UNDER_SAMPLING, 1184.0, 17.0, 36.0, 146.0, 0.1978021978021978, 0.6792452830188679, 0.7901120726344162, 0.2626123193976046
OPENJPA, 3, 0.7187309334960341, 0.02461799660441426, 0.038322487346348515, IBK, BEST_FIRST, SMOTE, 1307.0, 28.0, 25.0, 23.0, 0.5208333333333334, 0.4716981132075472, 0.8089161583203291, 0.4759612169842861
OPENJPA, 4, 0.6936098180279306, 0.02847264592231035, 0.026243093922651933, NAIVE_BAYES, NO_FEATURES_SELECTION, NO_SAMPLING, 1776.0, 52.0, 5.0, 339.0, 0.014534883720930232, 0.08771929824561403, 0.7296503670523827, -0.021035015076536455
OPENJPA, 4, 0.6936098180279306, 0.02847264592231035, 0.026243093922651933, NAIVE_BAYES, NO_FEATURES_SELECTION, OVER_SAMPLING, 1505.0, 46.0, 11.0, 610.0, 0.017713365539452495, 0.19298245614035087, 0.6006013852598399, -0.016414352178807313
OPENJPA, 4, 0.6936098180279306, 0.02847264592231035, 0.026243093922651933, NAIVE_BAYES, NO_FEATURES_SELECTION, UNDER_SAMPLING, 1534.0, 46.0, 11.0, 581.0, 0.018581081081081082, 0.19298245614035087, 0.6582928953589647, -0.014681031785059648
