Version,Filename,LOC_added,MAX_LOC_added,AVG_LOC_addded,Churn,MAX_Churn,AVG_Churn,ChgSetSize,MAX_ChgSetSize,AVG_ChgSetSize,Buggy
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,5,5,5.0,2,2,2.0,13,13,13.0,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java,2,2,2.0,1,1,1.0,14,14,14.0,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookieRecoveryTest.java,163,155,27.166666,117,150,19.5,62,17,10.333334,Yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestReadTimeout.java,106,101,35.333332,101,101,33.666668,20,10,6.666667,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,70,44,14.0,64,44,12.8,41,24,8.200001,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,63,58,31.5,58,53,29.0,41,24,20.5,Yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConditionalSetTest.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ZooKeeperUtil.java,163,133,54.333336,163,133,54.333336,22,17,7.333334,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/IOUtils.java,55,55,55.0,55,55,55.0,6,6,6.0,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/TestLedgerManager.java,4,4,4.0,0,0,0.0,10,10,10.0,No
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java,284,260,142.0,271,260,135.5,8,5,4.0,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/UpgradeTest.java,263,143,52.600002,249,133,49.800003,46,17,9.2,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,293,282,146.5,124,123,62.0,6,5,3.0,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/CookieTest.java,323,298,161.5,321,298,160.5,18,17,9.0,Yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConfigurationTest.java,12,12,12.0,12,12,12.0,2,2,2.0,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieJournalRollingTest.java,55,44,18.333334,40,39,13.333333,16,10,5.3333335,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,20,10,6.666667,18,8,6.0,32,14,10.666667,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java,0,0,0,0,0,0,0,0,0,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/HardLink.java,666,665,333.0,665,665,332.5,25,24,12.5,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/AsyncLedgerOpsTest.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,12,12,12.0,2,2,2.0,14,14,14.0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java,8,4,2.6666667,-1,1,-0.33333334,48,24,16.0,Yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LoopbackClient.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/LedgerLayoutTest.java,3,3,3.0,-2,0,-2.0,10,10,10.0,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/CloseTest.java,25,25,25.0,25,25,25.0,8,8,8.0,Yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerCreateDeleteTest.java,74,74,74.0,74,74,74.0,1,1,1.0,No
